city_ascii,Latitude,Longitude,country,State,population,id,ID,Icon_ID,Icon_Size,Opacity
Delhi,28.61,77.23,India,Delhi,32226000,1356872604,walmart potential location,0,50,1
Mumbai,19.0761,72.8775,India,Maharashtra,24973000,1356226629,walmart potential location,0,50,1
Kolkata,22.5675,88.37,India,West Bengal,18502000,1356060520,walmart potential location,0,50,1
Bangalore,12.9789,77.5917,India,Karnataka,15386000,1356410365,walmart potential location,0,50,1
Chennai,13.0825,80.275,India,Tamil Nadu,12395000,1356374944,walmart potential location,0,50,1
Hyderabad,17.385,78.4867,India,Telangana,10494000,1356871768,walmart potential location,0,50,1
Pune,18.5203,73.8567,India,Maharashtra,8231000,1356081074,walmart potential location,0,50,1
Ahmedabad,23.03,72.58,India,Gujarat,8009000,1356304381,walmart potential location,0,50,1
Surat,21.1702,72.8311,India,Gujarat,6538000,1356758738,walmart potential location,0,50,1
Prayagraj,25.4358,81.8464,India,Uttar Pradesh,5954391,1356718332,walmart potential location,0,50,1
Lucknow,26.85,80.95,India,Uttar Pradesh,3382000,1356891790,walmart potential location,0,50,1
Jaipur,26.9,75.8,India,Rajasthan,3073350,1356293537,walmart potential location,0,50,1
Cawnpore,26.4499,80.3319,India,Uttar Pradesh,2701324,1356575238,walmart potential location,0,50,1
Mirzapur,25.146,82.569,India,Uttar Pradesh,2496970,1356427908,walmart potential location,0,50,1
Nagpur,21.1497,79.0806,India,Maharashtra,2405665,1356365743,walmart potential location,0,50,1
Ghaziabad,28.67,77.42,India,Uttar Pradesh,2375820,1356691871,walmart potential location,0,50,1
Vadodara,22.3,73.2,India,Gujarat,2065771,1356705249,walmart potential location,0,50,1
Vishakhapatnam,17.7042,83.2978,India,Andhra Pradesh,2035922,1356692563,walmart potential location,0,50,1
Indore,22.7167,75.8472,India,Madhya Pradesh,1994397,1356402812,walmart potential location,0,50,1
Thane,19.1972,72.9722,India,Maharashtra,1886941,1356681152,walmart potential location,0,50,1
Bhopal,23.25,77.4167,India,Madhya Pradesh,1798218,1356734039,walmart potential location,0,50,1
Chinchvad,18.6186,73.8037,India,Maharashtra,1729320,1356475483,walmart potential location,0,50,1
Patna,25.6,85.1,India,Bihar,1684222,1356821429,walmart potential location,0,50,1
Bilaspur,22.09,82.15,India,Chhattisgarh,1625502,1356820491,walmart potential location,0,50,1
Ludhiana,30.91,75.85,India,Punjab,1618879,1356929498,walmart potential location,0,50,1
Agwar,27.18,78.02,India,Uttar Pradesh,1585705,1356151564,walmart potential location,0,50,1
Agra,27.18,78.02,India,Uttar Pradesh,1585704,1356187395,walmart potential location,0,50,1
Madurai,9.9252,78.1198,India,Tamil Nadu,1561129,1356257289,walmart potential location,0,50,1
Jamshedpur,22.7925,86.1842,India,Jharkhand,1558000,1356501259,walmart potential location,0,50,1
Nasik,20,73.78,India,Maharashtra,1486053,1356562598,walmart potential location,0,50,1
Faridabad,28.4167,77.3,India,Haryana,1404653,1356013205,walmart potential location,0,50,1
Aurangabad,19.88,75.32,India,Maharashtra,1371330,1356840670,walmart potential location,0,50,1
Rajkot,22.3,70.7833,India,Gujarat,1335397,1356317190,walmart potential location,0,50,1
Meerut,28.98,77.71,India,Uttar Pradesh,1305429,1356390476,walmart potential location,0,50,1
Jabalpur,23.1667,79.9333,India,Madhya Pradesh,1267564,1356115460,walmart potential location,0,50,1
Kalamboli,19.2333,73.1333,India,Maharashtra,1246381,1356537020,walmart potential location,0,50,1
Vasai,19.47,72.8,India,Maharashtra,1222390,1356707797,walmart potential location,0,50,1
Najafgarh,28.6092,76.9798,India,Delhi,1203180,1356180206,walmart potential location,0,50,1
Varanasi,25.3189,83.0128,India,Uttar Pradesh,1198491,1356145782,walmart potential location,0,50,1
Srinagar,34.09,74.79,India,Jammu and Kashmir,1180570,1356442950,walmart potential location,0,50,1
Dhanbad,23.7998,86.4305,India,Jharkhand,1162472,1356103392,walmart potential location,0,50,1
Amritsar,31.64,74.86,India,Punjab,1132383,1356926507,walmart potential location,0,50,1
Aligarh,27.88,78.08,India,Uttar Pradesh,1131160,1356076391,walmart potential location,0,50,1
Guwahati,26.1722,91.7458,India,Assam,1116267,1356593800,walmart potential location,0,50,1
Haora,22.58,88.3294,India,West Bengal,1077075,1356986516,walmart potential location,0,50,1
Ranchi,23.36,85.33,India,Jharkhand,1073440,1356110588,walmart potential location,0,50,1
Gwalior,26.2215,78.178,India,Madhya Pradesh,1069276,1356363967,walmart potential location,0,50,1
Chandigarh,30.75,76.78,India,Chandigarh,1055450,1356739179,walmart potential location,0,50,1
Vijayawada,16.5193,80.6305,India,Andhra Pradesh,1048240,1356807575,walmart potential location,0,50,1
Jodhpur,26.28,73.02,India,Rajasthan,1033918,1356727084,walmart potential location,0,50,1
Raipur,21.25,81.63,India,Chhattisgarh,1010087,1356374983,walmart potential location,0,50,1
Kota,25.18,75.83,India,Rajasthan,1001694,1356820310,walmart potential location,0,50,1
Bareilly,28.364,79.415,India,Uttar Pradesh,1000000,1356698199,walmart potential location,0,50,1
Coimbatore,11.0168,76.9558,India,Tamil Nadu,959823,1356999503,walmart potential location,0,50,1
Solapur,17.68,75.92,India,Maharashtra,951558,1356314385,walmart potential location,0,50,1
Trichinopoly,10.7903,78.7047,India,Tamil Nadu,916857,1356884472,walmart potential location,0,50,1
Moradabad,28.8389,78.7769,India,Uttar Pradesh,887871,1356269375,walmart potential location,0,50,1
Tiruppur,11.1085,77.3411,India,Tamil Nadu,877778,1356539761,walmart potential location,0,50,1
